0,org_name,Област,Община,Град/село,Район,special_territory_type,special_territory_name,description,contact_email
1,Агенция за държавна финансова инспекция,,,,,,,,
2,Агенция за социално подпомагане,,,,,,,,
3,Агенция за устойчиво енергийно развитие,,,,,,,,
4,Агенция за хората с увреждания,,,,,,,,
5,Агенция за ядрено регулиране,,,,,,,,
6,Агенция Митници,,,,,,,,
7,Агенция по вписванията,,,,,,,,
8,"Агенция по геодезия, картография и кадастър",,,,,,,,
9,Агенция по заетостта,,,,,,,,
10,Агенция по обществени поръчки,,,,,,,,
11,Агенция Пътна инфраструктура,,,,,,,,
12,Администрация на Министерския съвет,,,,,,,,
13,Антидопингов център,,,,,,,,
14,Басейнова дирекция Дунавски район,"Видин;Монтана;Враца;Плевен;Велико Търново;Разград;Русе;Силистра;Добрич,Варна,Шумен,Търговище,Габрово,Ловеч,Софийска област;София-столица;Перник",,,,,,"Обхваща водосборните басейни на река Дунав и всички нейни притоци на територията на България, включително големи реки като Лоом, Искър, Вит, Осъм, Янтра, Росица, Русенски Лом, както и реките от Предбалкана от р. Тимок до р. Янтра.",
15,Басейнова дирекция Западнобеломорски район,Кюстендил;Благоевград;Перик,,,,,,"Обхваща водосборите на реките Струма, Места и Доспат",
16,Басейнова дирекция Източнобеломорски район,Пазарджик;Пловдив;Смолян;Кърджали;Хасково;Сливен;Ямбол;Бургас,,,,,,"Обхваща водосборите на реките Марица, Тунджа и Арда",
17,Басейнова дирекция Черноморски район,Варна;Добрич;Шумен;Търговище;Бургас;Ямбол;Разград;Сливен,,,,,,"Обхваща водосборите на всички реки, вливащи се директно в Черно море в България, включително големи реки като Камчия, Провадийска, Девненска, Ахелой, Русокастренска, Хаджийска, Айтоска, както и много по-малки, като покрива цялото българско Черноморие от Север до Юг. ",
18,Българска агенция за инвестиции,,,,,,,,
19,Българска агенция по безопасност на храните,,,,,,,,
20,Български зъболекарски съюз,,,,,,,,
21,Български институт по метрология,,,,,,,,
22,Български лекарски съюз,,,,,,,,
23,Български пощи ЕАД,,,,,,,,
24,Български фармацевтичен съюз,,,,,,,,
25,Главна дирекция Гражданска въздухоплавателна администрация,,,,,,,,
26,Главна дирекция Изпълнение на наказанията,,,,,,,,
27,Граждански профил,,,,,,,,
28,Дирекция за национален строителен контрол,,,,,,,,
29,Дирекция Морска администрация - Варна,Варна,,,,,,,
30,Дирекция Национален парк Пирин,Благоевград,Разлог;Банско;Гоце Делчев;Сандански;Кресна;Симитли;Струмяни,,,Национален Парк,Пирин,,
31,Дирекция Национален парк Рила,Благоевград;Кюстендил;Софийска област;Пазарджик,,,,Национален Парк,Рила,,
32,Дирекция Национален парк Централен Балкан,Ловеч;Габрово;Стара Загора;Пловдив;Софийска област,,,,Национален Парк,Централен Балкан,,
33,"Дирекция Хидромелиорации, инвестиционна политика и концесии",,,,,,,,
34,Държавен фонд Земеделие,,,,,,,,
35,Държавна агенция „Държавен резерв и военновременни запаси”,,,,,,,,
36,Държавна агенция Архиви,,,,,,,,
37,Държавна агенция за бежанците при Министерски съвет,,,,,,,,
38,Държавна агенция за българите в чужбина,,,,,,,,
39,Държавна агенция за закрила на детето,,,,,,,,
40,Държавна агенция за метрологичен и технически надзор,,,,,,,,
41,Държавна комисия по стоковите борси и тържищата,,,,,,,,
42,Държавната комисия по хазарта,,,,,,,,
43,Изпълнителна агенция Автомобилна администрация,,,,,,,,
44,Изпълнителна агенция Българска служба за акредитация,,,,,,,,
45,Изпълнителна агенция Главна инспекция по труда,,,,,,,,
46,Изпълнителна агенция Железопътна администрация,,,,,,,,
47,Изпълнителна агенция Медицински надзор,,,,,,,,
48,Изпълнителна агенция Морска администрация,,,,,,,,
49,Изпълнителна агенция по горите,,,,,,,,
50,Изпълнителна агенция по лекарствата,,,,,,,,
51,Изпълнителна агенция по лозата и виното (ИАЛВ),,,,,,,,
52,Изпълнителна агенция по околна среда,,,,,,,,
53,Изпълнителна агенция по селекция и репродукция в животновъдството,,,,,,,,
54,Изпълнителна агенция Проучване и поддържане на река Дунав,,,,,,,,
55,Институт по публична администрация,,,,,,,,
56,Комисия за енергийно и водно регулиране,,,,,,,,
57,Комисия за защита на конкуренцията,,,,,,,,
58,Комисия за защита на личните данни,,,,,,,,
59,Комисия за защита на потребителите,,,,,,,,
60,Комисия за защита от дискриминация,,,,,,,,
61,Комисия за противодействие на корупцията и за отнемане на незаконно придобитото имущество,,,,,,,,
62,Комисия за разкриване на документите и за обявяване на принадлежност на български граждани към Държавна сигурност Българската народна армия и разузнавателните служби на Българската народна армия,,,,,,,,
63,Комисия за регулиране на съобщенията,,,,,,,,
64,Комисия за финансов надзор,,,,,,,,
65,Лесозащитна станция  Пловдив,Пазарджик;Пловдив;Стара Загора;Кърджали;Смолян,,,,,,,lzsplovdiv@iag.bg
66,Летище София,София-столица,,,,,,,
67,Министерство на външните работи,,,,,,,,Priemna@mfa.bg
68,Министерство на вътрешните работи,,,,,,,,priemna@mvr.bg
69,Министерство на електронното управление,,,,,,,,mail@egov.government.bg
70,Министерство на енергетиката,,,,,,,,e-energy@me.government.bg
71,Министерство на здравеопазването,,,,,,,,press@mh.government.bg
72,"Министерство на земеделието, храните и горите",,,,,,,,mail@mzh.government.bg
73,Министерство на икономиката и индустрията,,,,,,,,e-docs@mi.government.bg
74,Министерство на иновациите и растежа,,,,,,,,docs@mig.government.bg
75,Министерство на културата,,,,,,,,delovodstvo@mc.government.bg
76,Министерство на младежта и спорта,,,,,,,,question@mpes.government.bg
77,Министерство на образованието и науката,,,,,,,,priemna@mon.bg
78,Министерство на околната среда и водите,,,,,,,,edno_gishe@moew.government.bg
79,Министерство на отбраната,,,,,,,,cao@mod.bg
80,Министерство на правосъдието,,,,,,,,priemna@justice.government.bg
81,Министерство на регионалното развитие и благоустройството,,,,,,,,e-mrrb@mrrb.government.bg
82,"Министерство на транспорта, информационните технологии и съобщенията",,,,,,,,mail@mtc.government.bg
83,Министерство на труда и социалната политика,,,,,,,,mlsp@mlsp.government.bg
84,Министерство на туризма,,,,,,,,tourism@tourism.government.bg
85,Министерство на финансите,,,,,,,,feedback@minfin.bg
86,Народно събрание,,,,,,,,
87,Национален институт за недвижимо културно наследство,,,,,,,,
88,Национален институт за помирение и арбитраж,,,,,,,,
89,Национален институт по метеорология и хидрология,,,,,,,,
90,Национален осигурителен институт,,,,,,,,
91,Национален статистически институт,,,,,,,,
92,Национален съвет по цени и реимбурсиране на лекарствените продукти,,,,,,,,
93,Национален филмов център,,,,,,,,
94,Национален център за информация и документация,,,,,,,,
95,Национален център по обществено здраве и анализи,,,,,,,,
96,Национална агенция за приходите,,,,,,,,
97,Национална агенция за професионално образование и обучение,,,,,,,,
98,Национална здравноосигурителна каса,,,,,,,,
99,Национална комисия за борба с трафика на хора,,,,,,,,
100,Национална компания Железопътна инфраструктура,,,,,,,,
101,Национално бюро за правна помощ,,,,,,,,
102,Областна aдминистрация Търговище,Търговище,,,,,,,
103,Областна администрация Благоевград,Благоевград,,,,,,,
104,Областна администрация Бургас,Бургас,,,,,,,
105,Областна администрация Варна,Варна,,,,,,,
106,Областна администрация Велико Търново,Велико Търново,,,,,,,
107,Областна администрация Видин,Видин,,,,,,,
108,Областна администрация Враца,Враца,,,,,,,
109,Областна администрация Габрово,Габрово,,,,,,,
110,Областна администрация Добрич,Добрич,,,,,,,
111,Областна администрация Кърджали,Кърджали,,,,,,,
112,Областна администрация Кюстендил,Кюстендил,,,,,,,
113,Областна администрация Ловеч,Ловеч,,,,,,,
114,Областна администрация Монтана,Монтана,,,,,,,
115,Областна администрация област София,София-столица,,,,,,,
116,Областна администрация Пазарджик,Пазарджик,,,,,,,
117,Областна администрация Перник,Перник,,,,,,,
118,Областна администрация Плевен,Плевен,,,,,,,
